asset_category,asset_name,holding,market_value,coal,oil_gas,arms,tobacco
Equities,NISOURCE INC COM,189800,3109852,No,No,No,No
Equities,NMC HEALTH PLC ORD GBP0.10,50000,527500,No,No,No,No
Equities,NORTHROP GRUMMAN CORP COM,134120,18466813,No,No,Yes,No
Equities,NOVARTIS AG CHF0.50 (REGD),514431,26049878,No,No,No,No
Equities,NOVO-NORDISK AS DKK0.2 SER'B',114502,4329316,No,No,No,No
Equities,NOW INC COM,50338,619900,No,No,No,No
Equities,NTT DOCOMO NPV,1638400,25882499,No,No,No,No
Equities,NVIDIA CORP COM,24164,598678,No,No,No,No
Equities,OC OERLIKON CORP CHF1 (REGD),74718,537953,No,No,No,No
Equities,OGE ENERGY CORP COM,241304,4806605,No,No,No,No
Equities,OLYMPUS CORP NPV,37500,1013261,No,No,No,No
Equities,OMNICOM GROUP INC COM,240768,13940523,No,No,No,No
Equities,OMRON CORP NPV,193800,4006875,No,No,No,No
Equities,OMV AG NPV,62337,1224216,No,Yes,No,No
Equities,ONESAVINGS BANK PL ORD GBP0.01,325000,1074775,No,No,No,No
Equities,ORACLE CORP COM,332279,9457688,No,No,No,No
Equities,OSAKA GAS CO LTD NPV,1716000,4584630,No,No,No,No
Equities,OVERSEA-CHINESE BANKING CORPORATION SGD0.5,840437,3838587,No,No,No,No
Equities,PADDY POWER ORD EUR0.09,42434,4118220,No,No,No,No
Equities,PAN AFRICAN RES ORD GBP0.01,2600000,351000,No,No,No,No
Equities,PANTHEON INTERNATIONAL PLC ORD GBP0.67,180000,2221200,No,No,No,No
Equities,PANTHEON INTL PLC RED SHS GBP0.01,180000,2070000,No,No,No,No
Equities,PATISSERIE HOLDINGS LTD,135859,493168,No,No,No,No
Equities,PATTERSON COS INC COM,25048,810535,No,No,No,No
Equities,PAYSAFE GROUP PLC ORD GBP0.0001,2839160,12029521,No,No,No,No
Equities,PENDRAGON ORD GBP0.05,1500000,547500,No,No,No,No
Equities,PEPSICO INC COM,334577,23857788,No,No,No,No
Equities,PERNOD RICARD NPV EUR 1.55,56000,4351110,No,No,No,No
Equities,PERSIMMON ORD GBP0.10,589006,12274885,No,No,No,No
Equities,PETRA DIAMONDS ORD GBP0.10 (DI),1180647,1242631,No,No,No,No
